强化等级	紫色1级	紫色2级	紫色3级	紫色4级	紫色5级	紫色6级	紫色7级	紫色8级	紫色9级	紫色10级	紫色11级	紫色12级	紫色13级	紫色14级	紫色15级	紫色16级
48	824	953	1103	1254	1464	1696	1965	2207	2449	2703	2967	3281	3594	3927	4251	4596
49	849	982	1136	1292	1508	1747	2024	2273	2522	2784	3056	3379	3702	4045	4379	4734
50	874	1011	1170	1331	1553	1799	2085	2341	2598	2868	3148	3480	3813	4166	4510	4876
51	900	1041	1205	1371	1600	1853	2148	2411	2676	2954	3242	3584	3927	4291	4645	5022
52	927	1072	1241	1412	1648	1909	2212	2483	2756	3043	3339	3692	4045	4420	4784	5173
53	955	1104	1278	1454	1697	1966	2278	2557	2839	3134	3439	3803	4166	4553	4928	5328
54	984	1137	1316	1498	1748	2025	2346	2634	2924	3228	3542	3917	4291	4690	5076	5488
55	1014	1171	1355	1543	1800	2086	2416	2713	3012	3325	3648	4035	4420	4831	5228	5653
56	1044	1206	1396	1589	1854	2149	2488	2794	3102	3425	3757	4156	4553	4976	5385	5823
57	1075	1242	1438	1637	1910	2213	2563	2878	3195	3528	3870	4281	4690	5125	5547	5998
58	1107	1279	1481	1686	1967	2279	2640	2964	3291	3634	3986	4409	4831	5279	5713	6178
59	1140	1317	1525	1737	2026	2347	2719	3053	3390	3743	4106	4541	4976	5437	5884	6363
60	1174	1357	1571	1789	2087	2417	2801	3145	3492	3855	4229	4677	5125	5600	6061	6554
61	1209	1398	1618	1843	2150	2490	2885	3239	3597	3971	4356	4817	5279	5768	6243	6751
62	1245	1440	1667	1898	2215	2565	2972	3336	3705	4090	4487	4962	5437	5941	6430	6954
63	1282	1483	1717	1955	2281	2642	3061	3436	3816	4213	4622	5111	5600	6119	6623	7163
64	1320	1527	1769	2014	2349	2721	3153	3539	3930	4339	4761	5264	5768	6303	6822	7378
65	1360	1573	1822	2074	2419	2803	3248	3645	4048	4469	4904	5422	5941	6492	7027	7599
66	1401	1620	1877	2136	2492	2887	3345	3754	4169	4603	5051	5585	6119	6687	7238	7827
67	1443	1669	1933	2200	2567	2974	3445	3867	4294	4741	5203	5753	6303	6888	7455	8062
68	1486	1719	1991	2266	2644	3063	3548	3983	4423	4883	5359	5926	6492	7095	7679	8304
69	1531	1771	2051	2334	2723	3155	3654	4102	4556	5029	5520	6104	6687	7308	7909	8553
70	1577	1824	2113	2404	2805	3250	3764	4225	4693	5180	5686	6287	6888	7527	8146	8810
71	1624	1879	2176	2476	2889	3348	3877	4352	4834	5335	5857	6476	7095	7753	8390	9074
72	1673	1935	2241	2550	2976	3448	3993	4483	4979	5495	6033	6670	7308	7986	8642	9346
73	1723	1993	2308	2627	3065	3551	4113	4617	5128	5660	6214	6870	7527	8226	8901	9626
74	1775	2053	2377	2706	3157	3658	4236	4756	5282	5830	6400	7076	7753	8473	9168	9915
75	1828	2115	2448	2787	3252	3768	4363	4899	5440	6005	6592	7288	7986	8727	9443	10212
76	1883	2178	2521	2871	3350	3881	4494	5046	5603	6185	6790	7507	8226	8989	9726	10518
77	1939	2243	2597	2957	3451	3997	4629	5197	5771	6371	6994	7732	8473	9259	10018	10834
78	1997	2310	2675	3046	3555	4117	4768	5353	5944	6562	7204	7964	8727	9537	10319	11159
79	2057	2379	2755	3137	3662	4241	4911	5514	6122	6759	7420	8203	8989	9823	10629	11494
80	2119	2450	2838	3231	3772	4368	5058	5679	6306	6962	7643	8449	9259	10118	10948	11839
81	2183	2524	2923	3328	3885	4499	5210	5849	6495	7171	7872	8702	9537	10422	11276	12194
82	2248	2600	3011	3428	4002	4634	5366	6024	6690	7386	8108	8963	9823	10735	11614	12560
83	2315	2678	3101	3531	4122	4773	5527	6205	6891	7608	8351	9232	10118	11057	11962	12937
84	2384	2758	3194	3637	4246	4916	5693	6391	7098	7836	8602	9509	10422	11389	12321	13325
85	2456	2841	3290	3746	4373	5063	5864	6583	7311	8071	8860	9794	10735	11731	12691	13725
86	2530	2926	3389	3858	4504	5215	6040	6780	7530	8313	9126	10088	11057	12083	13072	14137
87	2606	3014	3491	3974	4639	5371	6221	6983	7756	8562	9400	10391	11389	12445	13464	14561
88	2684	3104	3596	4093	4778	5532	6408	7192	7989	8819	9682	10703	11731	12818	13868	14998
89	2765	3197	3704	4216	4921	5698	6600	7408	8229	9084	9972	11024	12083	13203	14284	15448
90	2848	3293	3815	4342	5069	5869	6798	7630	8476	9357	10271	11355	12445	13599	14713	15911
91	2933	3392	3929	4472	5221	6045	7002	7859	8730	9638	10579	11696	12818	14007	15154	16388
92	3021	3494	4047	4606	5378	6226	7212	8095	8992	9927	10896	12047	13203	14427	15609	16880
93	3112	3599	4168	4744	5539	6413	7428	8338	9262	10225	11223	12408	13599	14860	16077	17386
94	3205	3707	4293	4886	5705	6605	7651	8588	9540	10532	11560	12780	14007	15306	16559	17908
95	3301	3818	4422	5033	5876	6803	7881	8846	9826	10848	11907	13163	14427	15765	17056	18445
96	3400	3933	4555	5184	6052	7007	8117	9111	10121	11173	12264	13558	14860	16238	17568	18998
97	3502	4051	4692	5340	6234	7217	8361	9384	10425	11508	12632	13965	15306	16725	18095	19568
98	3607	4173	4833	5500	6421	7434	8612	9666	10738	11853	13011	14384	15765	17227	18638	20155
99	3715	4298	4978	5665	6614	7657	8870	9956	11060	12209	13401	14816	16238	17744	19197	20760
100	3826	4427	5127	5835	6812	7887	9136	10255	11392	12575	13803	15260	16725	18276	19773	21383
101	3941	4560	5281	6010	7016	8124	9410	10563	11734	12952	14217	15718	17227	18824	20366	22024
102	4059	4697	5439	6190	7226	8368	9692	10880	12086	13341	14644	16190	17744	19389	20977	22685
103	4181	4838	5602	6376	7443	8619	9983	11206	12449	13741	15083	16676	18276	19971	21606	23366
104	4306	4983	5770	6567	7666	8878	10282	11542	12822	14153	15535	17176	18824	20570	22254	24067
105	4435	5132	5943	6764	7896	9144	10590	11888	13207	14578	16001	17691	19389	21187	22922	24789
106	4568	5286	6121	6967	8133	9418	10908	12245	13603	15015	16481	18222	19971	21823	23610	25533
107	4705	5445	6305	7176	8377	9701	11235	12612	14011	15465	16975	18769	20570	22478	24318	26299
108	4846	5608	6494	7391	8628	9992	11572	12990	14431	15929	17484	19332	21187	23152	25048	27088
109	4991	5776	6689	7613	8887	10292	11919	13380	14864	16407	18009	19912	21823	23847	25799	27901
110	5141	5949	6890	7841	9154	10601	12277	13781	15310	16899	18549	20509	22478	24562	26573	28738
111	5295	6127	7097	8076	9429	10919	12645	14194	15769	17406	19105	21124	23152	25299	27370	29600
112	5454	6311	7310	8318	9712	11247	13024	14620	16242	17928	19678	21758	23847	26058	28191	30488
113	5618	6500	7529	8568	10003	11584	13415	15059	16729	18466	20268	22411	24562	26840	29037	31403
114	5787	6695	7755	8825	10303	11932	13817	15511	17231	19020	20876	23083	25299	27645	29908	32345
115	5961	6896	7988	9090	10612	12290	14232	15976	17748	19591	21502	23775	26058	28474	30805	33315
116	6140	7103	8228	9363	10930	12659	14659	16455	18280	20179	22147	24488	26840	29328	31729	34314
117	6324	7316	8475	9644	11258	13039	15099	16949	18828	20784	22811	25223	27645	30208	32681	35343
118	6514	7535	8729	9933	11596	13430	15552	17457	19393	21408	23495	25980	28474	31114	33661	36403
119	6709	7761	8991	10231	11944	13833	16019	17981	19975	22050	24200	26759	29328	32047	34671	37495
120	6910	7994	9261	10538	12302	14248	16500	18520	20574	22712	24926	27562	30208	33008	35711	38620
