怪物编号	怪物名称	等级	兵种	兵种等级	技能	技能等级	战斗力	攻击	血量	物理防御	法术防御	闪避	暴击	命中	破招	格挡	刚毅	素材	神将	一级神将素材	专属技能
1002020	冀州枪兵	11	2	7	1	2	190	265	456	54	54	0	0	100	0	0	0	hero/luxun.png	0		
1002021	冀州枪兵	12	2	7	1	2	208	292	514	59	59	0	0	100	0	0	0	hero/huanggai.png	0		
1002022	冀州枪兵	13	2	7	1	2	228	320	578	64	64	0	0	100	0	0	0	hero/caopi.png	0		
1002023	冀州枪兵	14	2	7	1	2	247	349	642	67	67	0	0	100	0	0	0	hero/dao.png	0		
1002024	冀州枪兵	15	2	7	1	2	265	376	710	71	71	0	0	100	0	0	0	hero/zhaoyun.png	0		
1002025	冀州枪兵	16	2	7	1	2	285	405	784	76	76	0	0	100	0	0	0	hero/jiangwei.png	0		
1002026	冀州枪兵	17	2	7	1	2	306	434	858	81	81	0	0	100	0	0	0	hero/dengai.png	0		
1002027	冀州枪兵	18	2	7	1	2	326	463	938	84	84	0	0	100	0	0	0	hero/lingtong.png	0		
1002028	冀州枪兵	19	2	7	1	2	347	493	1018	88	88	0	0	100	0	0	0	hero/qiang.png	0		
1002029	冀州枪兵	20	2	7	1	2	428	628	1446	93	93	0	0	100	0	0	0	hero/huaxiong.png	0		
1002030	冀州谋士	11	4	7	1	2	190	241	456	61	61	0	0	100	0	0	0	hero/liubei.png	0		
1002031	冀州谋士	12	4	7	1	2	208	266	514	66	66	0	0	100	0	0	0	hero/qi.png	0		
1002032	冀州谋士	13	4	7	1	2	228	292	578	71	71	0	0	100	0	0	0	hero/xunyu.png	0		
1002033	冀州谋士	14	4	7	1	2	247	317	642	75	75	0	0	100	0	0	0	hero/zhugeliang.png	0		
1002034	冀州谋士	15	4	7	1	2	265	343	710	80	80	0	0	100	0	0	0	hero/zhouyu.png	0		
1002035	冀州谋士	16	4	7	1	2	285	368	784	84	84	0	0	100	0	0	0	hero/zhugedan.png	0		
1002036	冀州谋士	17	4	7	1	2	306	394	858	89	89	0	0	100	0	0	0	hero/luxun.png	0		
1002037	冀州谋士	18	4	7	1	2	326	422	938	94	94	0	0	100	0	0	0	hero/huanggai.png	0		
1002038	冀州谋士	19	4	7	1	2	347	448	1018	99	99	0	0	100	0	0	0	hero/caopi.png	0		
1002039	冀州谋士	20	4	7	1	2	428	571	1446	104	104	0	0	100	0	0	0	hero/dao.png	0		
1002040	冀州红颜	11	5	7	1	2	190	193	456	67	79	0	0	100	0	0	0	hero/diaochan.png	0		
1002041	冀州红颜	12	5	7	1	2	208	213	514	72	86	0	0	100	0	0	0	hero/zhangchunhua.png	0		
1002042	冀州红颜	13	5	7	1	2	228	233	578	77	92	0	0	100	0	0	0	hero/huangyueying.png	0		
1002043	冀州红颜	14	5	7	1	2	247	253	642	82	97	0	0	100	0	0	0	hero/hongyan.png	0		
1002044	冀州红颜	15	5	7	1	2	265	274	710	88	104	0	0	100	0	0	0	hero/diaochan.png	0		
1002045	冀州红颜	16	5	7	1	2	285	295	784	93	110	0	0	100	0	0	0	hero/zhangchunhua.png	0		
1002046	冀州红颜	17	5	7	1	2	306	315	858	99	116	0	0	100	0	0	0	hero/huangyueying.png	0		
1002047	冀州红颜	18	5	7	1	2	326	337	938	103	122	0	0	100	0	0	0	hero/hongyan.png	0		
1002048	冀州红颜	19	5	7	1	2	347	358	1018	108	128	0	0	100	0	0	0	hero/diaochan.png	0		
1002049	冀州红颜	20	5	7	1	2	428	457	1446	114	134	0	0	100	0	0	0	hero/zhangchunhua.png	0		
1003101	张继	21	1	8	1	3	586	512	1552	234	234	0	0	100	0	0	0	hero/zhouyu.png	0		
1003102	李蒙	21	2	8	1	3	608	512	1552	234	234	0	0	100	0	0	0	hero/zhugedan.png	0		
1003103	邓忠	22	3	8	1	3	629	546	1676	244	244	0	0	100	0	0	0	hero/luxun.png	0		
1003104	贺齐	22	4	8	1	3	650	546	1676	244	244	0	0	100	0	0	0	hero/huanggai.png	0		
1003105	华雄	23	3	8	1	3	671	580	1808	255	255	0	0	100	0	0	0	hero/huaxiong.png	0		
1003106	郭淮	23	2	8	1	3	692	580	1808	255	255	0	0	100	0	0	0	hero/dao.png	0		
1003107	樊稠	24	1	8	1	3	714	614	1946	264	264	0	0	100	0	0	0	hero/zhaoyun.png	0		
1003108	王方	24	4	8	1	3	735	614	1946	264	264	0	0	100	0	0	0	hero/jiangwei.png	0		
1003109	徐荣	25	1	8	1	3	755	649	2086	275	275	0	0	100	0	0	0	hero/dengai.png	0		
1003110	高顺	25	3	8	1	3	777	649	2086	275	275	0	0	100	0	0	0	hero/lingtong.png	0		
1003111	包潋	26	3	8	1	3	798	685	2234	286	286	0	0	100	0	0	0	hero/qiang.png	0		
1003112	胡轸	26	3	8	1	3	819	685	2234	286	286	0	0	100	0	0	0	hero/huaxiong.png	0		
1003113	屠灿	27	1	8	1	3	840	720	2384	295	295	0	0	100	0	0	0	hero/liubei.png	0		
1003114	李催	27	2	8	1	3	861	720	2384	295	295	0	0	100	0	0	0	hero/qi.png	0		
1003115	吕布	28	3	8	1	3	881	757	2538	305	305	0	0	100	0	0	0	hero/lvbu.png	0		
1003116	陈列	28	3	8	1	3	904	757	2538	305	305	0	0	100	0	0	0	hero/zhugeliang.png	0		
1003117	韩定	29	4	8	1	3	924	793	2700	315	315	0	0	100	0	0	0	hero/zhouyu.png	0		
1003118	李岚	29	4	8	1	3	946	793	2700	315	315	0	0	100	0	0	0	hero/zhugedan.png	0		
1003119	郭汜	30	3	8	1	3	736	571	1428	262	262	0	0	100	0	0	0	hero/luxun.png	0		
1003120	董卓	30	1	8	1	3	988	933	3104	326	326	0	0	100	0	0	0	hero/dongzhuo.png	0		
1003000	凉州骑兵	21	3	8	1	3	489	427	1294	196	196	0	0	100	0	0	0	hero/caopi.png	0		
1003001	凉州骑兵	22	3	8	1	3	517	455	1398	204	204	0	0	100	0	0	0	hero/dao.png	0		
1003002	凉州骑兵	23	3	8	1	3	547	484	1508	213	213	0	0	100	0	0	0	hero/zhaoyun.png	0		
1003003	凉州骑兵	24	3	8	1	3	577	512	1622	221	221	0	0	100	0	0	0	hero/jiangwei.png	0		
1003004	凉州骑兵	25	3	8	1	3	608	541	1740	230	230	0	0	100	0	0	0	hero/dengai.png	0		
1003005	凉州骑兵	26	3	8	1	3	638	570	1862	238	238	0	0	100	0	0	0	hero/lingtong.png	0		
1003006	凉州骑兵	27	3	8	1	3	668	600	1986	247	247	0	0	100	0	0	0	hero/qiang.png	0		
1003007	凉州骑兵	28	3	8	1	3	701	631	2114	255	255	0	0	100	0	0	0	hero/huaxiong.png	0		
1003008	凉州骑兵	29	3	8	1	3	732	661	2250	264	264	0	0	100	0	0	0	hero/liubei.png	0		
1003009	凉州骑兵	30	3	8	1	3	823	778	2588	272	272	0	0	100	0	0	0	hero/qi.png	0		
1003010	凉州步兵	21	1	8	1	3	489	342	1294	253	215	0	0	100	0	0	0	hero/xunyu.png	0		
1003011	凉州步兵	22	1	8	1	3	517	364	1398	264	224	0	0	100	0	0	0	hero/zhugeliang.png	0		
1003012	凉州步兵	23	1	8	1	3	547	386	1508	275	233	0	0	100	0	0	0	hero/zhouyu.png	0		
1003013	凉州步兵	24	1	8	1	3	577	410	1622	287	243	0	0	100	0	0	0	hero/zhugedan.png	0		
1003014	凉州步兵	25	1	8	1	3	608	433	1740	298	252	0	0	100	0	0	0	hero/luxun.png	0		
1003015	凉州步兵	26	1	8	1	3	638	456	1862	309	262	0	0	100	0	0	0	hero/huanggai.png	0		
1003016	凉州步兵	27	1	8	1	3	668	480	1986	320	270	0	0	100	0	0	0	hero/caopi.png	0		
1003017	凉州步兵	28	1	8	1	3	701	504	2114	332	281	0	0	100	0	0	0	hero/dao.png	0		
1003018	凉州步兵	29	1	8	1	3	732	529	2250	342	290	0	0	100	0	0	0	hero/zhaoyun.png	0		
1003019	凉州步兵	30	1	8	1	3	823	621	2588	353	299	0	0	100	0	0	0	hero/jiangwei.png	0		
1003020	凉州枪兵	21	2	8	1	3	489	469	1294	175	175	0	0	100	0	0	0	hero/dengai.png	0		
1003021	凉州枪兵	22	2	8	1	3	517	500	1398	184	184	0	0	100	0	0	0	hero/lingtong.png	0		
1003022	凉州枪兵	23	2	8	1	3	547	531	1508	191	191	0	0	100	0	0	0	hero/qiang.png	0		
1003023	凉州枪兵	24	2	8	1	3	577	563	1622	199	199	0	0	100	0	0	0	hero/huaxiong.png	0		
1003024	凉州枪兵	25	2	8	1	3	608	595	1740	206	206	0	0	100	0	0	0	hero/liubei.png	0		
1003025	凉州枪兵	26	2	8	1	3	638	627	1862	214	214	0	0	100	0	0	0	hero/qi.png	0		
1003026	凉州枪兵	27	2	8	1	3	668	660	1986	222	222	0	0	100	0	0	0	hero/xunyu.png	0		
1003027	凉州枪兵	28	2	8	1	3	701	694	2114	230	230	0	0	100	0	0	0	hero/zhugeliang.png	0		
1003028	凉州枪兵	29	2	8	1	3	732	727	2250	236	236	0	0	100	0	0	0	hero/zhouyu.png	0		
1003029	凉州枪兵	30	2	8	1	3	823	855	2588	244	244	0	0	100	0	0	0	hero/zhugedan.png	0		
1003030	凉州谋士	21	4	8	1	3	489	427	1294	196	196	0	0	100	0	0	0	hero/luxun.png	0		
1003031	凉州谋士	22	4	8	1	3	517	455	1398	204	204	0	0	100	0	0	0	hero/huanggai.png	0		
1003032	凉州谋士	23	4	8	1	3	547	484	1508	213	213	0	0	100	0	0	0	hero/caopi.png	0		
1003033	凉州谋士	24	4	8	1	3	577	512	1622	221	221	0	0	100	0	0	0	hero/dao.png	0		
1003034	凉州谋士	25	4	8	1	3	608	541	1740	230	230	0	0	100	0	0	0	hero/zhaoyun.png	0		
1003035	凉州谋士	26	4	8	1	3	638	570	1862	238	238	0	0	100	0	0	0	hero/jiangwei.png	0		
1003036	凉州谋士	27	4	8	1	3	668	600	1986	247	247	0	0	100	0	0	0	hero/dengai.png	0		
1003037	凉州谋士	28	4	8	1	3	701	631	2114	255	255	0	0	100	0	0	0	hero/lingtong.png	0		
1003038	凉州谋士	29	4	8	1	3	732	661	2250	264	264	0	0	100	0	0	0	hero/qiang.png	0		
1003039	凉州谋士	30	4	8	1	3	823	778	2588	272	272	0	0	100	0	0	0	hero/huaxiong.png	0		
1003040	凉州红颜	21	5	8	1	3	489	342	1294	215	253	0	0	100	0	0	0	hero/diaochan.png	0		
1003041	凉州红颜	22	5	8	1	3	517	364	1398	224	264	0	0	100	0	0	0	hero/zhangchunhua.png	0		
1003042	凉州红颜	23	5	8	1	3	547	386	1508	233	275	0	0	100	0	0	0	hero/huangyueying.png	0		
1003043	凉州红颜	24	5	8	1	3	577	410	1622	243	287	0	0	100	0	0	0	hero/hongyan.png	0		
1003044	凉州红颜	25	5	8	1	3	608	433	1740	252	298	0	0	100	0	0	0	hero/diaochan.png	0		
1003045	凉州红颜	26	5	8	1	3	638	456	1862	262	309	0	0	100	0	0	0	hero/zhangchunhua.png	0		
1003046	凉州红颜	27	5	8	1	3	668	480	1986	270	320	0	0	100	0	0	0	hero/huangyueying.png	0		
1003047	凉州红颜	28	5	8	1	3	701	504	2114	281	332	0	0	100	0	0	0	hero/hongyan.png	0		
1003048	凉州红颜	29	5	8	1	3	732	529	2250	290	342	0	0	100	0	0	0	hero/diaochan.png	0		
1003049	凉州红颜	30	5	8	1	3	823	621	2588	299	353	0	0	100	0	0	0	hero/zhangchunhua.png	0		
1004101	王岩	31	1	9	1	4	794	623	3090	315	315	0	0	100	0	0	0	hero/zhaoyun.png	0		
1004102	任飞	31	2	9	1	4	818	623	3090	315	315	0	0	100	0	0	0	hero/jiangwei.png	0		
1004103	刘枫	32	3	9	1	4	842	653	3268	326	326	0	0	100	0	0	0	hero/dengai.png	0		
1004104	张勋	32	2	9	1	4	866	653	3268	326	326	0	0	100	0	0	0	hero/lingtong.png	0		
1004105	李丰	33	3	9	1	4	889	683	3453	335	335	0	0	100	0	0	0	hero/qiang.png	0		
1004106	曹丹	33	2	9	1	4	911	683	3453	335	335	0	0	100	0	0	0	hero/huaxiong.png	0		
1004107	向休	34	1	9	1	4	937	715	3641	344	344	0	0	100	0	0	0	hero/liubei.png	0		
1004108	陈纪	34	4	9	1	4	961	715	3641	344	344	0	0	100	0	0	0	hero/qi.png	0		
1004109	韩浩	35	1	9	1	4	983	745	3832	354	354	0	0	100	0	0	0	hero/xunyu.png	0		
1004110	袁焕	35	4	9	1	4	1008	745	3832	354	354	0	0	100	0	0	0	hero/zhugeliang.png	0		
1004111	朱顺	36	3	9	1	4	1033	778	4032	364	364	0	0	100	0	0	0	hero/zhouyu.png	0		
1004112	吴康	36	3	9	1	4	1055	778	4032	364	364	0	0	100	0	0	0	hero/zhugedan.png	0		
1004113	陈兰	37	1	9	1	4	1077	810	4234	373	373	0	0	100	0	0	0	hero/huangyueying.png	0		
1004114	雷薄	37	2	9	1	4	1102	810	4234	373	373	0	0	100	0	0	0	hero/huanggai.png	0		
1004115	纪灵	38	3	9	1	4	1126	842	4443	383	383	0	0	100	0	0	0	hero/caopi.png	0		
1004116	黄苣	38	3	9	3	4	1149	842	4443	383	383	0	0	100	0	0	0	hero/dao.png	0		
1004117	孟翰	39	4	9	3	4	1173	876	4655	393	393	0	0	100	0	0	0	hero/zhaoyun.png	0		
1004118	袁耀	39	2	9	3	4	1198	876	4655	393	393	0	0	100	0	0	0	hero/jiangwei.png	0		
1004119	杨弘	40	3	9	3	4	1221	1028	5707	402	402	0	0	100	0	0	0	hero/dengai.png	0		
1004120	袁术	40	1	9	3	4	1243	1028	5707	402	402	0	0	100	0	0	0	hero/yuanshu.png	0		
1004000	寿春骑兵	31	3	9	1	4	662	519	2576	264	264	0	0	100	0	0	0	hero/qiang.png	0		
1004001	寿春骑兵	32	3	9	1	4	691	545	2724	272	272	0	0	100	0	0	0	hero/huaxiong.png	0		
1004002	寿春骑兵	33	3	9	1	4	720	570	2878	280	280	0	0	100	0	0	0	hero/liubei.png	0		
1004003	寿春骑兵	34	3	9	1	4	751	595	3034	286	286	0	0	100	0	0	0	hero/qi.png	0		
1004004	寿春骑兵	35	3	9	1	4	782	621	3193	297	297	0	0	100	0	0	0	hero/xunyu.png	0		
1004005	寿春骑兵	36	3	9	1	4	813	648	3360	303	303	0	0	100	0	0	0	hero/zhugeliang.png	0		
1004006	寿春骑兵	37	3	9	1	4	843	674	3529	312	312	0	0	100	0	0	0	hero/zhouyu.png	0		
1004007	寿春骑兵	38	3	9	1	4	876	701	3703	320	320	0	0	100	0	0	0	hero/zhugedan.png	0		
1004008	寿春骑兵	39	3	9	1	4	908	730	3881	328	328	0	0	100	0	0	0	hero/luxun.png	0		
1004009	寿春骑兵	40	3	9	1	4	1037	857	4755	335	335	0	0	100	0	0	0	hero/huanggai.png	0		
1004010	寿春步兵	31	1	9	1	4	662	416	2576	343	289	0	0	100	0	0	0	hero/caopi.png	0		
1004011	寿春步兵	32	1	9	1	4	691	436	2724	354	298	0	0	100	0	0	0	hero/dao.png	0		
1004012	寿春步兵	33	1	9	1	4	720	456	2878	363	307	0	0	100	0	0	0	hero/zhaoyun.png	0		
