等级	下一级经验	出战武将数量	主城征收上限	主城产出效率(perHour)	磨坊生产上限	磨坊产出效率(perHour)	军机处训练获得经验	金矿产出系数	臣民每次产出	地牢产出	装备评分	购买金币数量	修炼打坐经验产出(perHour)	群雄争霸支持获取金币系数	决战天下支持获取金币系数
47	1146960	6	438012	36501	5800	483	15365	3.505	1095	21901	7	219000	413	5	5
48	1284595	6	459912	38326	5950	496	15413	3.68	1150	22996	7	229950	422	5	5
49	1438746	6	482916	40243	6100	508	15461	3.864	1207	24146	7	241450	463	5	5
50	1841595	7	507060	42255	6250	521	40286	4.057	1268	25353	7	253550	1186	7	7
51	2244444	7	532404	44367	6400	533	40920	4.26	1331	26620	8	266200	1194	7	7
52	2669850	7	559032	46586	6550	546	41556	4.473	1398	27951	8	279500	1202	7	7
53	3118128	7	586980	48915	6700	558	42192	4.697	1467	29349	8	293500	1240	7	7
54	3589591	7	616332	51361	6850	571	42828	4.932	1541	30817	8	308150	1278	7	7
55	4084552	7	647148	53929	7000	583	43464	5.179	1618	32357	8	323550	1314	7	7
56	4603327	7	679500	56625	7150	596	44099	5.437	1699	33975	9	339750	1349	7	7
57	5146228	7	713484	59457	7300	608	44735	5.709	1784	35674	9	356750	1383	7	7
58	5713569	7	749148	62429	7450	621	45371	5.995	1873	37458	9	374600	1416	7	7
59	6305664	7	786612	65551	7600	633	46007	6.295	1967	39331	9	393300	1448	7	7
60	6922827	7	825936	68828	7750	646	46287	6.609	2065	41297	10	412950	1478	8	8
61	8326417	7	867240	72270	7900	658	93473	6.94	2168	43362	10	433600	3293	8	8
62	9807610	7	910596	75883	8050	671	98015	7.287	2277	45530	10	455300	3404	8	8
63	11367416	7	956124	79677	8200	683	102507	7.651	2390	47807	10	478050	3512	8	8
64	13006845	7	1003932	83661	8350	696	106951	8.034	2510	50197	10	501950	3615	8	8
65	14726905	7	1054128	87844	8500	708	111349	8.435	2635	52707	11	527050	3716	8	8
66	16528605	7	1064669	88722	8650	721	115704	8.857	2767	55342	11	553400	3813	8	8
67	18412955	7	1075316	89609	8800	733	120016	9.3	2905	58109	11	581100	3906	8	8
68	20380965	7	1086069	90505	8950	746	124288	9.765	3051	61015	11	610150	3996	8	8
69	22433642	7	1096930	91410	9100	758	128521	10.253	3203	64065	11	640650	4083	8	8
70	24486319	7	1107899	92324	9250	771	128521	10.766	3363	67269	12	672700	4085	10	10
71	26596209	7	1118978	93247	9400	783	131267	11.304	3532	70632	12	706300	4087	10	10
72	28763312	7	1130168	94179	9550	796	133960	11.869	3708	74164	12	741650	4089	10	10
73	30987628	7	1141470	95121	9700	808	136600	12.463	3894	77872	12	778700	4091	10	10
74	33269157	7	1152885	96072	9850	821	139191	13.086	4088	81765	12	817650	4093	10	10
75	35607899	7	1164414	97033	10000	833	141734	13.74	4293	85854	13	858550	4110	10	10
76	38003854	7	1176058	98003	10150	846	144231	14.427	4379	87571	13	875700	4125	10	10
77	40587084	7	1187819	98983	10300	858	152257	15.148	4466	89322	13	893200	4356	10	10
78	43231768	7	1199697	99973	10450	871	154844	15.906	4555	91109	13	911100	4369	10	10
79	45940984	7	1211694	100973	10600	883	157514	16.701	4647	92931	13	929300	4384	10	10
80	48711272	7	1223811	101983	10750	896	159999	17.536	4739	94789	14	947900	4391	10	10
81	51548212	7	1236049	103003	10900	908	162665	18.413	4834	96685	14	966850	4405	10	10
82	54455820	7	1248409	104033	11050	921	165445	19.334	4931	98619	14	986200	4423	10	10
83	57436500	7	1260893	105073	11200	933	168274	20.3	5030	100591	14	1005900	4441	10	10
84	60487604	7	1273502	106124	11350	946	170957	21.315	5130	102603	14	1026050	4453	10	10
85	63618368	7	1286237	107185	11500	958	173944	22.381	5233	104655	15	1046550	4476	10	10
86	66824448	7	1299099	108257	11650	971	176725	23.5	5337	106748	15	1067500	4490	10	10
87	70105722	7	1312090	109340	11800	983	179459	24.675	5444	108883	15	1088850	4502	10	10
88	73462050	7	1325211	110433	11950	996	182148	25.909	5553	111061	15	1110600	4511	10	10
89	76895908	7	1338463	111537	12100	1008	184884	27.204	5664	113282	15	1132800	4521	10	10
90	80403620	7	1351848	112652	12250	1021	187453	28.565	5777	115548	16	1155500	4524	10	10
91	83980530	7	1365366	113779	12400	1033	189825	29.993	5893	117859	16	1178600	4528	10	10
92	87637106	7	1379020	114917	12550	1046	192518	31.493	6011	120216	16	1202150	4533	10	10
93	91368680	7	1392810	116066	12700	1058	195018	33.067	6131	122620	16	1226200	4539	10	10
94	95172292	7	1406738	117227	12850	1071	197386	34.721	6254	125072	16	1250700	4546	10	10
95	99047652	7	1420805	118399	13000	1083	199713	36.457	6379	127574	17	1275750	4554	10	10
96	103004572	7	1435013	119583	13150	1096	202323	38.279	6506	130125	17	1301250	4563	10	10
97	107041932	7	1449363	120779	13300	1108	204864	40.193	6636	132728	17	1327300	4573	10	10
98	111157644	7	1463857	121987	13450	1121	207306	42.203	6769	135382	17	1353800	4584	10	10
99	115353318	7	1478496	123207	13600	1133	209766	44.313	6905	138090	17	1380900	4596	10	10
100	119629638	7	1493281	124439	13750	1146	212216	46.423	7043	140852	18	1408500	4609	10	10
101	123992038	7	1508214	125683	13900	1158	214798	48.533	7183	143669	18	1436700	4623	10	10
102	128446042	7	1523296	126940	14050	1171	217513	50.643	7327	146542	18	1465400	4638	10	10
103	132971290	7	1538529	128209	14200	1183	219598	52.753	7474	149473	18	1494750	4654	10	10
104	137585746	7	1553914	129491	14350	1196	222177	54.863	7623	152463	18	1524650	4671	10	10
105	142275556	7	1569453	130786	14500	1208	224330	56.973	7776	155512	19	1555100	4689	10	10
106	147050116	7	1585148	132094	14650	1221	226723	59.083	7931	158622	19	1586200	4708	10	10
107	151905180	7	1600999	133415	14800	1233	228970	61.193	8090	161795	19	1617950	4728	10	10
108	156853276	7	1617009	134749	14950	1246	231536	63.303	8252	165030	19	1650300	4749	10	10
109	161885192	7	1633179	136096	15100	1258	233822	65.413	8417	168331	19	1683300	4771	10	10
110	168995592	7	1649511	137457	15250	1271	289871	67.523	8585	171698	19	1717000	6069	10	10
111	176656816	7	1666006	138832	15400	1283	304560	69.633	8757	175132	19	1751300	6406	10	10
112	184938616	7	1682666	140220	15550	1296	320927	71.743	8932	178634	20	1786350	6783	10	10
113	193937176	7	1699493	141622	15700	1308	339625	73.853	9110	182207	20	1822050	7220	10	10
114	203745633	7	1716488	143038	15850	1321	360525	75.963	9293	185851	20	1858500	7709	10	10
115	214481387	7	1733653	144468	16000	1333	384201	78.073	9478	189568	20	1895700	8266	10	10
116	226304987	7	1750990	145913	16150	1346	411684	80.183	9668	193360	20	1933600	8917	10	10
117	240231096	7	1768500	147372	16300	1358	464246	82.293	9861	197227	20	1972250	10288	10	10
118	256680936	7	1786185	148846	16450	1371	526689	84.403	10059	201171	20	2011700	11905	10	10
119	276215336	7	1804047	150334	16600	1383	602229	86.513	10260	205195	20	2051950	13848	10	10
120	299604536	7	1822087	151837	16750	1396	695679	88.623	10465	209299	20	2093000	16242	10	10
