名称	变量名	变量值
军团战军衔经验基础值（军衔）	LeagueWarGradeBaseXp	50
军团战个人体力产出效率（每小时）	LeagueWarEnergyPerHour	113
军团战战败扣除个人体力	LeagueWarFailEnergy	50
军团战击杀获取个人积分	LeagueWarWinScore	30
军团战战斗失败获取个人积分	LeagueWarFailScore	15
参加军团战的军团最小等级	LeagueWarLeagueLevelMin	2
参加军团战的军团成员最小等级	LeagueWarPlayerLevelMin	31
参加军团战斗军团成员最小数目	LeagueWarPlayerNumMin	25
军团战生产一次迁徙次数所需要的时间	LeagueWarMoveOutputHours	2
军团战购买一次迁徙的元宝花费	LeagueWarBuyMoveCash	20
军团战每次购买获取的体力	LeagueWarEnergyPerCost	1000
军团战获取每日获取额外体力的时间	LeagueWarGotExEnergyHour	18
军团战每次获取的额外体力	LeagueWarGotExEnergy	1200
军团战进攻CD时间(秒)	LeagueWarFightColdTime	5
军团战在基地的玩家增加的攻击百分比	LeagueWarBaseCityAttackAdd	20
命运轮盘基础元宝花费	WheelCashBase	5
命运轮盘每日免费次数	WheelDailyLimit	2
命运轮盘递增元宝花费	WheelCashAdd	10
命运轮盘递增元宝最大值	WheelCashMax	100000
金币购买橙色英雄花费	BuyOrangeRoleCostGold	3000000
武将觉醒炼魂等级	AwakeSoulLimit	50
武将觉醒属性增加的百分比	AwakeAttrAdd	5
军团boss开战时间(小时)	LeagueBossStartHour	20
军团boss结束时间(小时)	LeagueBossEndHour	21
军团boss重置时间(小时)	LeagueBossResetHour	6
军团boss结束冷却元宝花费	LeagueBossEndCoolCash	20
军团boss冷却时间	LeagueBossCoolTime	240
军团boss元宝鼓舞花费	LeagueBossInspireCash	10
军团boss军功鼓舞花费	LeagueBossInspireHonor	9000
军团boss鼓舞攻击加成	LeagueBossInspireAttack	10
军团boss鼓舞加成上限	LeagueBossInspireLimit	100
步步惊喜每日免费次数	SurpriseDailyFreeLimit	3
步步惊喜元宝花费	SurpriseCash	20
修炼打坐时间上限	OfflineXpHourLimit	24
修炼打坐提升经验元宝花费	OfflineXpCashHour	2
修炼打坐元宝提升经验倍数	OfflineXpCashFactor	3
修炼打坐等级限制	OfflineXpLevelLimit	42
疯狂擂台每天开始时间	CrazyRankStartHour	9
疯狂擂台每天结束时间	CrazyRankEndHour	21
疯狂擂台每日送道具次数	CrazyRankSendTimes	10
疯狂擂台将魂奖励数量区间开始	CrazyRankSoulNumMin	500
疯狂擂台将魂奖励数量区间结束	CrazyRankSoulNumMax	1000
装备洗炼一次消耗天玉数量	EquipRefineMaterialNum	10
装备洗炼一次增加属性	EquipRefineAddAttribute	10
装备洗炼开启等级	EquipRefineLevelLimit	500
古墓宝藏获取额外奖励需挖掘次数	TombDigNum	3
古墓宝藏等级限制	TombLevelLimit	35
貂蝉TV开放等级	TvLevelLimit	500
黄钻宝石最高数量	YellowDiamondLimit	82
黑市开放等级	BlackShopLevelLimit	30
武将觉醒开放等级	AwakeOpenLevelLimit	50
祈福许愿元宝花费	WishCash	100
神兵锻造成功所需的锻造次数	ForgeTotalTime	150
神兵锻造等级限制	ForgeOpenLevel	20
神兵锻造每日锻造次数上限	ForgeDailyLimit	10
神兵锻造每次奖励金币数量	ForgeGold	20000
武将炼魂开放等级	RoleSoulOpenLevel	36
地牢开放等级限制	PrisonOpenLevelLimit	33
跨服战报名要求擂台排名	ServerWarRankMin	200
跨服战报名要求等级排名	ServerWarLevelMin	50
跨服战支持君主等级限制	ServerWarSupportLevel	40
西域夺宝返回次数限制	WesternGobackLimit	3
百服团购每日限购次数	GrouponDailyLimit	3
百服团购积分劵Id	GrouponScoreId	84
世界boss开战时间1(小时)	WorldBossStartHour1	13
世界boss结束时间1(小时)	WorldBossEndHour1	14
世界boss开战时间2(小时)	WorldBossStartHour2	21
世界boss结束时间2(小时)	WorldBossEndHour2	22
世界boss重置时间(小时)	WorldBossResetHour	0
世界boss结束冷却元宝花费	WorldBossEndCoolCash	20
世界boss冷却时间	WorldBossCoolTime	240
世界boss元宝鼓舞花费	WorldBossInspireCash	10
世界boss军功鼓舞花费	WorldBossInspireHonor	9000
世界boss鼓舞攻击加成	WorldBossInspireAttack	10
世界boss鼓舞加成上限	WorldBossInspireLimit	100
世界boss血量上限	WorldBossMaxHealth	300000000
世界boss血量随开服天数增量	WorldBossHealthPerDay	5000000
世界boss开放等级	WorldBossOpenLevel	40
世界boss开放距离开服天数	WorldBossOpenDays	7
世界boss排行榜显示上限	WorldBossRankLimit	200
擂台每天领取奖励时间	RankGetRewardTime	20
变强系统开放等级限制	StrongOpenLevelLimit	12
黑市商店中物品的刷新时间间隔(6小时)	BlackShopUpdateTime	21600
黑市商店中每次普通刷新物品时消耗的黄金军令数目	BlackShopNormalGoldOrder	1
黑市商店中每次白金刷新物品时消耗的黄金军令数目	BlackShopSilverGoldOrder	10
黑市商店中每次至尊刷新物品时消耗的黄金军令数目	BlackShopSuperGoldOrder	100
三顾茅庐开放等级	VisitOpenLevel	10
三顾茅庐追回所需元宝	VisitEnrollCash	50
天天爱转轮自动刷新奖励间隔天数	DayWheelAutoRefreshDay	3
天天爱转轮手动刷新奖励元宝消耗	DayWheelRefreshCash	100
天天爱转轮开放等级限制	DayWheelOpenLevelLimit	500
天天爱转轮开放距离开服天数	DayWheelOpenDays	99999999
充值排行榜进榜充值条件	PayRankCashMin	10000
疯狂擂台每次挑战元宝花费	CrazyFightCashCost	10
五虎上将武将Id	FiveRoleIds	2:3:4:5:6
神兽开启等级	PetOpenLevel	60
砸宝箱需要总次数	HitBoxTimes	5
砸宝箱等级限制	HitBoxLevelLimit	10
砸宝箱一次的元宝花费	HitBoxCash	50
神兽按阶开放相对时间	PetOpenRelativeTime	2014:1:22:0:0:0
每天开始限时云购时间	CloudStartHour	9
云购单价	CloudUnitPrice	10
云购开放等级	CloudOpenLevel	10
充值回馈抽奖所需兑换次数	ChargeFeedExchangeCost	10
充值回馈赠送积分	PayScorePerCash	1
每日首充开放距离开服天数	DailyPayOpenDays	7
每日首充最低充值	DailyPayCashMin	10
每日首充每月累计次数	DailyPayMonthNum	25
本命武将开放等级	SpecialRoleOpenLevel	18
本命武将改名元宝花费	SpecialRoleRenameCash	50
本命武将更换元宝花费	SpecialRoleKillCash	100
华佗炼丹开放等级	HuatuoOpenLevel	50
华佗开放距离开服天数	HuatuoOpenDays	8
华佗炼丹每日免费次数	HuatuoDailyLimit	10
一键跑商开启等级	BusinessAutoRunLevel	60
每日充值排行榜进榜充值条件	DailyPayRankCashMin	5000
战术大赛开放等级	TroopMatchOpenLevel	50
战术大赛开放距离开服天数	TroopMatchOpenDays	5
战术大赛每日挑战的总次数	TroopMatchEnterTimes	12
战术大赛重新进入cd时间(秒)	TroopMatchColdTime	1800
战术大赛立即结束等待元宝消耗	TroopMatchClearCashCost	20
战术大赛每场胜场上限	TroopMatchWinLimit	10
战术大赛元宝挑战消耗	TroopMatchRetryCashCost	10
云购抽奖消耗积分	CloudLotteryScore	100
云购抽奖获取额外奖励需抽奖次数	CloudLotteryLimit	10
砸金蛋等待时间(秒)	BreakEggColdTime	3600
砸金蛋清除cd时间所需元宝	BreakEggClearCashCost	50
砸金蛋每日次数限制	BreakEggDailyLimit	5
云购开放距离开服天数	CloudOpenDays	8
装备冲星开启等级	EquipStarLevelLimit	65
装备冲星距离开服天数	EquipStarOpenDays	30
装备冲星启用相对时间	EquipStarRelativeTime	2014:1:22:0:0:0
决战天下开放距离开服时间（天）	BattleWorldOpenDays	7
决战天下报名要求擂台排名	BattleWorldRankMin	100
决战天下报名要求等级排名	BattleWorldLevelMin	50
决战天下支持君主等级限制	BattleWorldSupportLevel	40
决战天下每人携带体力值上限	BattleWorldPersonEnernyMax	1000
决战天下战败扣除个人体力	BattleWorldFailEnergy	50
决战天下击杀获取个人积分	BattleWorldWinScore	30
决战天下战斗失败获取个人积分	BattleWorldFailScore	15
决战天下生产一次迁徙次数所需要的时间	BattleWorldMoveOutputHours	0.2
决战天下购买一次迁徙的元宝花费	BattleWorldBuyMoveCash	20
决战天下每次购买获取的体力	BattleWorldEnergyPerCost	1000
决战天下个人体力产出效率（每小时）	BattleWorldEnergyPerHour	2000
决战天下个人体力产出时间间隔(小时)	BattleWorldEnergyOutputHours	0.5
决战天下个人基础积分	BattleWorldBaseScore	100
决战天下进攻冷却时间（每秒）	BattleWorldAttackCoolTime	5
决战天下神将额外奖励ID	BattleWorldExtraMaterialId	47
决战天下基地攻击加成	BattleWorldBaseCityAttackAdd	20
钻石卡牌每日免费刷新次数	DiamondCardDailyLimit	3
跨服充值排行榜进榜充值条件	ServerPayRankCashMin	10000
跨服金矿开启等级	ServerMineOpenLevel	80
跨服金矿每天抢占次数	ServerMineDailyLimit	5
跨服金矿最大产出系数	ServerMineMaxOutput	2
跨服金矿每次最长占领时间(小时)	ServerMineOccupyTime	1
驱逐年兽爆竹物品ID	YearBossBombMaterialId	207
驱逐年兽领取爆竹冷却时间（小时）	YearBossGetBombCoolTime	0.5
驱逐年兽开战时间(小时)	YearBossStartHour	20.5
驱逐年兽结束时间(小时)	YearBossEndHour	21.5
驱逐年兽重置时间(小时)	YearBossResetHour	0
驱逐年兽结束冷却元宝花费	YearBossEndCoolCash	20
驱逐年兽冷却时间	YearBossCoolTime	240
驱逐年兽元宝鼓舞花费	YearBossInspireCash	10
驱逐年兽鞭炮鼓舞花费	YearBossInspireBomb	1
驱逐年兽鼓舞攻击加成	YearBossInspireAttack	10
驱逐年兽鼓舞加成上限	YearBossInspireLimit	100
驱逐年兽血量随开服天数增量	YearBossHealthPerDay	5000000
驱逐年兽血量上限	YearBossMaxHealth	600000000
驱逐年兽排行榜显示上限	YearBossRankLimit	200
每颗神兽幻化丹增加神兽属性百分比	PetBuffAddAttribute	2
红包每日使用次数上限	RedPacketDailyUseLimit	1
红包材料ID	RedPacketMaterialId	208
幸运号码选号截止时间	LuckyNumberSelectEndHour	20
幸运号码开奖时间	LuckyNumberOpenHour	20.5
幸运号码奖励重置时间	LuckyNumberResetHour	24
幸运号码修改所需元宝	LuckyNumberModifyCash	5
