强化等级	紫色1级	紫色2级	紫色3级	紫色4级	紫色5级	紫色6级	紫色7级	紫色8级	紫色9级	紫色10级	紫色11级	紫色12级	紫色13级	紫色14级	紫色15级	紫色16级
24	163	206	254	307	365	428	496	569	642	720	803	886	974	1067	1180	1258
25	169	213	262	316	375	439	508	582	656	735	819	903	992	1086	1200	1279
26	175	220	270	325	385	450	520	595	670	750	835	920	1010	1105	1220	1300
27	181	227	278	334	395	461	532	608	684	765	851	937	1028	1124	1240	1321
28	187	234	286	343	405	472	544	621	698	780	867	954	1046	1143	1260	1342
29	193	241	294	352	415	483	556	634	712	795	883	971	1064	1162	1280	1363
30	199	248	302	361	425	494	568	647	726	810	899	988	1082	1181	1300	1384
31	205	255	310	370	435	505	580	660	740	825	915	1005	1100	1200	1320	1405
32	211	262	318	379	445	516	592	673	754	840	931	1022	1118	1219	1340	1426
33	217	269	326	388	455	527	604	686	768	855	947	1039	1136	1238	1360	1447
34	223	276	334	397	465	538	616	699	782	870	963	1056	1154	1257	1380	1468
35	229	283	342	406	475	549	628	712	796	885	979	1073	1172	1276	1400	1489
36	235	290	350	415	485	560	640	725	810	900	995	1090	1190	1295	1420	1510
37	241	297	358	424	495	571	652	738	824	915	1011	1107	1208	1314	1440	1531
38	247	304	366	433	505	582	664	751	838	930	1027	1124	1226	1333	1460	1552
39	253	311	374	442	515	593	676	764	852	945	1043	1141	1244	1352	1480	1573
40	259	318	382	451	525	604	688	777	866	960	1059	1158	1262	1371	1500	1594
41	265	325	390	460	535	615	700	790	880	975	1075	1175	1280	1390	1520	1615
42	271	332	398	469	545	626	712	803	894	990	1091	1192	1298	1409	1540	1636
43	277	339	406	478	555	637	724	816	908	1005	1107	1209	1316	1428	1560	1657
44	283	346	414	487	565	648	736	829	922	1020	1123	1226	1334	1447	1580	1678
45	289	353	422	496	575	659	748	842	936	1035	1139	1243	1352	1466	1600	1699
46	298	364	435	511	593	679	771	868	964	1066	1173	1281	1393	1510	1648	1750
47	307	375	448	527	611	700	794	894	993	1098	1208	1319	1435	1556	1698	1803
48	316	386	461	543	629	721	818	921	1023	1131	1244	1359	1478	1602	1749	1857
49	325	397	475	559	648	742	842	948	1054	1165	1282	1400	1522	1650	1801	1912
50	335	409	490	576	668	765	868	977	1085	1200	1320	1442	1568	1700	1855	1970
51	345	422	504	594	688	788	894	1006	1118	1236	1360	1485	1615	1751	1911	2029
52	356	434	519	612	708	811	921	1036	1151	1273	1401	1529	1663	1803	1968	2090
53	366	447	535	630	729	836	948	1067	1186	1311	1443	1575	1713	1857	2027	2152
54	377	461	551	649	751	861	977	1099	1221	1351	1486	1623	1765	1913	2088	2217
55	389	475	567	669	774	887	1006	1132	1258	1391	1531	1671	1818	1970	2151	2283
56	400	489	584	689	797	913	1036	1166	1295	1433	1577	1721	1872	2029	2215	2352
57	412	503	602	709	821	941	1067	1201	1334	1476	1624	1773	1928	2090	2282	2422
58	425	518	620	731	845	969	1099	1237	1374	1520	1673	1826	1986	2153	2350	2495
59	437	534	638	753	871	998	1132	1274	1415	1566	1723	1881	2046	2217	2421	2570
60	450	550	657	775	897	1028	1166	1312	1458	1613	1774	1937	2107	2284	2493	2647
61	464	566	677	799	924	1059	1201	1352	1501	1661	1827	1995	2170	2352	2568	2726
62	478	583	697	823	951	1091	1237	1392	1546	1711	1882	2055	2235	2423	2645	2808
63	492	601	718	847	980	1123	1274	1434	1593	1763	1939	2117	2302	2495	2725	2892
64	507	619	740	873	1009	1157	1312	1477	1641	1816	1997	2180	2371	2570	2806	2979
65	522	637	762	899	1040	1191	1352	1522	1690	1870	2057	2246	2442	2647	2890	3069
66	538	656	785	926	1071	1227	1392	1567	1740	1926	2118	2313	2516	2727	2977	3161
67	554	676	808	954	1103	1264	1434	1614	1792	1984	2182	2383	2591	2809	3066	3256
68	570	696	832	982	1136	1302	1477	1663	1846	2044	2247	2454	2669	2893	3158	3353
69	587	717	857	1012	1170	1341	1522	1713	1902	2105	2315	2528	2749	2980	3253	3454
70	605	739	883	1042	1205	1381	1567	1764	1959	2168	2384	2604	2831	3070	3350	3557
71	623	761	909	1074	1241	1422	1614	1817	2018	2233	2456	2682	2916	3162	3451	3664
72	641	784	937	1106	1278	1465	1663	1872	2078	2300	2529	2762	3004	3257	3554	3774
73	660	807	965	1139	1316	1509	1713	1928	2141	2369	2605	2845	3094	3354	3661	3887
74	680	831	994	1173	1356	1554	1764	1986	2205	2440	2683	2931	3187	3455	3771	4003
75	701	856	1024	1208	1396	1601	1817	2045	2271	2513	2764	3019	3282	3558	3884	4123
76	722	882	1054	1244	1438	1649	1872	2107	2339	2589	2847	3109	3381	3665	4000	4247
77	743	908	1086	1281	1481	1698	1928	2170	2409	2666	2932	3203	3482	3775	4120	4374
78	766	935	1118	1320	1526	1749	1986	2235	2481	2746	3020	3299	3587	3888	4244	4505
79	789	963	1152	1359	1572	1802	2045	2302	2556	2829	3111	3398	3694	4004	4371	4640
80	812	992	1186	1400	1619	1856	2107	2371	2632	2914	3204	3500	3805	4124	4502	4779
81	837	1022	1222	1442	1667	1911	2170	2442	2711	3001	3300	3605	3919	4248	4637	4923
82	862	1053	1258	1486	1717	1969	2235	2515	2793	3091	3399	3713	4037	4375	4776	5070
83	888	1084	1296	1530	1769	2028	2302	2590	2877	3184	3501	3824	4158	4507	4920	5222
84	914	1117	1335	1576	1822	2089	2371	2668	2963	3279	3606	3939	4282	4642	5067	5379
85	942	1150	1375	1624	1876	2151	2442	2748	3052	3378	3714	4057	4411	4781	5219	5540
86	970	1185	1416	1672	1933	2216	2515	2830	3144	3479	3826	4178	4543	4924	5376	5706
87	999	1220	1458	1722	1991	2282	2590	2915	3238	3584	3941	4304	4680	5072	5537	5877
88	1029	1257	1502	1774	2050	2351	2668	3003	3335	3691	4059	4433	4820	5224	5703	6054
89	1060	1294	1547	1827	2112	2421	2748	3093	3435	3802	4181	4566	4965	5380	5874	6235
90	1092	1333	1593	1882	2175	2494	2830	3186	3538	3916	4306	4703	5114	5542	6050	6422
91	1124	1373	1641	1938	2241	2569	2915	3281	3644	4033	4435	4844	5267	5708	6232	6615
92	1158	1414	1690	1996	2308	2646	3003	3380	3754	4154	4568	4989	5425	5879	6419	6813
93	1192	1457	1741	2056	2377	2725	3093	3481	3866	4279	4705	5139	5588	6055	6611	7018
94	1228	1500	1793	2118	2448	2807	3186	3586	3982	4407	4846	5293	5756	6237	6810	7228
95	1265	1545	1847	2181	2522	2891	3281	3693	4102	4539	4992	5452	5928	6424	7014	7445
96	1303	1592	1902	2247	2597	2978	3380	3804	4225	4675	5141	5615	6106	6616	7225	7669
97	1342	1639	1959	2314	2675	3067	3481	3918	4351	4816	5295	5784	6289	6815	7441	7899
98	1383	1688	2018	2384	2756	3159	3586	4036	4482	4960	5454	5957	6478	7019	7664	8136
99	1424	1739	2079	2455	2838	3254	3693	4157	4616	5109	5618	6136	6672	7230	7894	8380
100	1467	1791	2141	2529	2923	3352	3804	4281	4755	5263	5786	6320	6872	7447	8131	8631
101	1511	1844	2205	2605	3011	3452	3918	4410	4897	5421	5960	6509	7078	7670	8375	8890
102	1556	1900	2271	2683	3101	3556	4036	4542	5044	5583	6139	6705	7291	7900	8627	9157
103	1603	1957	2339	2763	3194	3662	4157	4679	5196	5751	6323	6906	7509	8137	8886	9431
104	1651	2015	2409	2846	3290	3772	4281	4819	5352	5923	6512	7113	7735	8381	9152	9714
105	1700	2076	2482	2932	3389	3885	4410	4964	5512	6101	6708	7326	7967	8633	9427	10006
106	1751	2138	2556	3020	3490	4002	4542	5113	5678	6284	6909	7546	8206	8892	9710	10306
107	1804	2202	2633	3110	3595	4122	4679	5266	5848	6472	7116	7773	8452	9158	10001	10615
108	1858	2268	2712	3204	3703	4245	4819	5424	6024	6666	7330	8006	8705	9433	10301	10933
109	1913	2336	2793	3300	3814	4373	4964	5587	6204	6866	7550	8246	8966	9716	10610	11261
110	1971	2406	2877	3399	3928	4504	5113	5754	6390	7072	7776	8493	9235	10007	10929	11599
111	2030	2478	2964	3501	4046	4639	5266	5927	6582	7284	8010	8748	9512	10307	11257	11947
112	2091	2553	3053	3606	4168	4778	5424	6105	6779	7503	8250	9011	9798	10616	11594	12306
113	2153	2629	3144	3714	4293	4921	5587	6288	6983	7728	8498	9281	10092	10935	11942	12675
114	2218	2708	3239	3825	4422	5069	5754	6476	7192	7960	8753	9560	10394	11263	12301	13055
115	2284	2789	3336	3940	4554	5221	5927	6671	7408	8199	9015	9847	10706	11601	12670	13446
116	2353	2873	3436	4058	4691	5377	6105	6871	7630	8445	9286	10142	11027	11949	13050	13850
117	2423	2959	3539	4180	4831	5539	6288	7077	7859	8698	9564	10447	11358	12307	13441	14265
118	2496	3048	3645	4305	4976	5705	6476	7289	8095	8959	9851	10760	11699	12676	13844	14693
119	2571	3139	3754	4434	5126	5876	6671	7508	8338	9228	10147	11083	12050	13057	14260	15134
120	2648	3233	3867	4567	5280	6052	6871	7733	8588	9505	10451	11416	12411	13448	14688	15588
