活动编号	排序	活动名称	活动开始时间	活动结束时间	配置文件编号Id	限制条件值	不受时间限制	时间到后是否直接结束	延迟天数	Tab名称	Page名称	类名称	活动开放等级	活动描述	活动开放距离开服天数	活动开启时间 开服时间大于该时间时开启
petgift	32	神兽进阶	2014:2:21:0:0:0	2014:2:26:0:0:0	1		0	1		petgift_tab	petgift_panel	PetGiftPanel	60		31	
chargerole	33	充值送将					0	1				ChargeRolePanel	10		0	
chargelimit	34	充值专享	2014:2:11:0:0:0	2014:2:14:0:0:0	1		0	1				BaseActivityPage	10		31	
chargegod	35	全民觉醒	2014:2:18:0:0:0	2014:2:21:0:0:0	1		0	1		chargegod_tab	chargegod_panel	ChargeGodPanel	35		15	
stargift	36	冲星福利	2014:1:14:0:0:0	2014:1:17:0:0:0			0	1		stargift_tab	stargift_panel	StarGiftPanel	65		8	
serverpayrank	37	跨服充值	2014:2:21:0:0:0	2014:2:26:0:0:0			0	1	1			BaseActivityPage	10		15	
diamondcard	38	钻石卡牌	2014:2:19:0:0:0	2014:2:24:0:0:0			0	1				BaseActivityPage	10		15	
mysticshop	39	神秘商店	2014:2:19:0:0:0	2014:2:24:0:0:0			0	1				BaseActivityPage	35		31	
newyearfirstpay	40	春节首充	2014:1:30:0:0:0	2014:2:6:0:0:0			0	1		newyearfirstpay_tab	newyearfirstpay_panel	NewYearFirstPayPanel	35	每天首次充值金额达到1000元宝则赠送1000元宝，超过1000元宝则按比例返回，小于1000元宝则无法获得赠送元宝。	31	
yearboss	41	驱逐年兽	2014:1:30:0:0:0	2014:2:6:0:0:0			0	1				BaseActivityPage	10		0	
redpacket	42	新年红包	2014:1:30:0:0:0	2014:2:6:0:0:0			0	1		redpacket_tab	redpacket_panel	RedPacketPanel	10		0	
luckynumber	43	幸运号码	2014:1:30:0:0:0	2014:2:6:0:0:0			0	1		luckynumber_tab	luckynumber_panel	LuckyNumberPanel	10		0	
richsend	44	土豪送礼	2014:2:17:0:0:0	2014:2:19:0:0:0			0	1	1			BaseActivityPage	10		31	
newredpacket	45	新服红包					0	1		newredpacket_tab	newredpacket_panel	NewRedPacketPanel	10		0	
supercard	46	超级卡牌					0	1				BaseActivityPage	30		0	
logininvest	47	登录投资					0	0				logininvest.LoginInvestPanel	10		0	2014:2:19:0:0:0
levelinvest	48	升级福利					0	0				levelinvest.LevelInvestPanel	10		0	2014:2:19:0:0:0
cdkey	199	兑换奖励					1	0		cdkey_tab	cdkey_panel	CdKeyPanel	10		0	
score	200	我爱评分					1	0		score_tab	score_panel	ScoreGiftPanel	30		0	
