编号	名字	品质	兵种	初始血量	血量成长	战斗力	初始攻击	攻击成长	初始防御	防御成长	初始法术防御	法术防御成长	初始格挡	初始刚毅	初始命中	初始破招	初始暴击	初始闪避	武将成长	武将素材	阵营(魏1、蜀2、吴3、群4)	分期(1、2、3)	获取方式（1招贤馆、2副本、3活动、4兑换）	一级神将素材	二级神将素材	1级神将开放距离开服天数	2级神将开放距离开服天数	合成碎片编号	合成所需数量	专属技能	描述
25	大乔	orange	5	240	100	228	429	52	124	15	272	33	0	0	0	0	0	0	55	hero/daqiao.png	3	1	4								
26	甄姬	orange	5	240	100	228	413	50	50	6	363	44	0	0	0	0	0	0	55	hero/zhenji.png	1	1	1								
29	孙坚	purple	1	400	100	79	51	25	72	45	49	30	0	0	0	0	0	0	43	hero/sunjian.png	3	1	1								
30	颜良	purple	3	320	100	98	82	50	46	25	43	25	0	0	0	0	0	0	41	hero/yanliang.png	4	1	1								
32	魏延	orange	2	320	100	228	355	43	231	28	239	29	0	0	0	0	0	0	55	hero/weiyan.png	2	1	1								
33	夏侯惇	orange	1	400	100	228	223	27	281	34	322	39	0	0	0	0	0	0	55	hero/xiahoudong.png	1	1	1								
34	夏侯渊	orange	2	320	100	201	495	60	165	20	165	20	0	0	0	0	0	0	55	hero/xiahouyuan.png	1	1	1								
35	徐晃	orange	3	320	100	228	363	44	281	34	182	22	0	0	0	0	0	0	55	hero/xuhuang.png	1	1	1								
36	周泰	purple	1	400	100	77	49	25	70	45	49	30	0	0	0	0	0	0	43	hero/zhoutai.png	3	1	1								
37	华雄	purple	3	320	100	100	84	50	45	25	43	25	0	0	0	0	0	0	43	hero/huaxiong.png	4	1	1								
38	张颌	orange	3	320	100	228	272	33	140	17	413	50	0	0	0	0	0	0	55	hero/zhanghe.png	1	1	1								
39	姜维	orange	2	320	100	228	446	54	198	24	182	22	0	0	0	0	0	0	55	hero/jiangwei.png	2	1	1								
40	邓艾	purple	2	320	100	106	93	60	39	20	37	20	0	0	0	0	0	0	43	hero/dengai.png	1	1	1								
43	黄盖	purple	1	400	100	74	45	25	67	45	49	30	0	0	0	0	0	0	43	hero/huanggai.png	3	1	1								
45	凌统	purple	2	320	100	105	91	60	36	20	37	20	0	0	0	0	0	0	45	hero/lingtong.png	3	1	1								
46	曹丕	purple	1	400	100	74	45	25	67	45	49	30	0	0	0	0	0	0	41	hero/caopi.png	1	1	1								
47	孙权	orange	1	400	100	228	264	32	281	34	281	34	0	0	0	0	0	0	55	hero/sunquan.png	3	1	1								
48	刘乐乐	purple	1	400	100	76	45	25	67	45	49	30	0	0	0	0	0	0	49	hero/liubeibei.png	4	1	3								
52	袁绍	purple	1	400	100	74	45	25	67	45	49	30	0	0	0	0	0	0	43	hero/yuanshao.png	4	1	1								
53	刘备	orange	1	400	100	228	165	20	330	40	330	40	0	0	0	0	0	0	55	hero/liubei.png	2	1	1								
62	荀彧	orange	4	240	100	228	281	34	272	33	272	33	0	0	0	0	0	0	55	hero/xunyu.png	1	1	1								
63	陆逊	orange	4	240	100	228	165	20	330	40	330	40	0	0	0	0	0	0	55	hero/luxun.png	3	1	1								
67	诸葛诞	purple	4	240	100	104	96	60	10	0	60	40	0	0	0	0	0	0	40	hero/zhugedan.png	3	1	1								
68	袁术	purple	4	240	100	102	93	60	12	0	63	40	0	0	0	0	0	0	42	hero/yuanshu.png	4	1	1								
69	张角	purple	4	240	100	103	93	60	10	0	61	40	0	0	0	0	0	0	45	hero/zhangjiao.png	4	1	1								
70	刘禅	purple	4	240	100	100	91	60	9	0	60	40	0	0	0	0	0	0	40	hero/liushan.png	2	1	1								
71	孙尚香	orange	5	240	100	228	330	40	437	53	58	7	0	0	0	0	0	0	55	hero/sunshangxiang.png	3	1	1								
72	祝融夫人	purple	5	240	100	93	81	50	9	0	73	50	0	0	0	0	0	0	42	hero/zhurongfuren.png	2	1	1								
73	张春华	purple	5	240	100	91	79	50	9	0	72	50	0	0	0	0	0	0	41	hero/zhangchunhua.png	1	1	1								
74	黄月英	orange	5	240	100	228	355	43	116	14	355	43	0	0	0	0	0	0	55	hero/huangyueying.png	2	1	1								
76	蒋干	blue	4	240	100	66	49	60	10	0	49	40	0	0	0	0	0	0	30	hero/xunyu.png	1	1	1								
77	逢纪	blue	4	240	100	74	60	60	10	0	40	40	0	0	0	0	0	0	30	hero/xunyu.png	4	1	1								
85	卢植	blue	4	240	100	74	60	60	10	0	40	40	0	0	0	0	0	0	30	hero/dengai.png	4	1	1								
101	李儒	blue	4	240	100	74	60	60	10	0	40	40	0	0	0	0	0	0	30	hero/yuanshu.png	4	1	1								
103	黄权	blue	4	240	100	74	60	60	10	0	40	40	0	0	0	0	0	0	30	hero/yuanshu.png	2	1	1								
109	曹植	purple	4	240	100	74	60	60	10	0	40	40	0	0	0	0	0	0	30	hero/guojia.png	1	1	1								
110	郭汜	blue	4	240	100	74	60	60	10	0	40	40	0	0	0	0	0	0	30	hero/guojia.png	4	1	1								
121	辛宪英	blue	5	240	100	66	49	50	10	0	49	50	0	0	0	0	0	0	30	hero/zhangchunhua.png	1	1	1								
122	甘夫人	blue	5	240	100	66	49	50	10	0	49	50	0	0	0	0	0	0	30	hero/hongyan.png	2	1	1								
123	关索	blue	1	400	100	74	49	25	10	45	49	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
124	高览	blue	1	400	100	74	49	25	45	45	49	30	0	0	0	0	0	0	30	hero/huaxiong.png	1	1	1								
125	管亥	blue	1	400	100	55	24	25	45	45	30	30	0	0	0	0	0	0	30	hero/huaxiong.png	4	1	1								
126	凌彪	blue	1	400	100	55	24	25	45	45	30	30	0	0	0	0	0	0	30	hero/huaxiong.png	3	1	1								
127	严颜	purple	1	400	100	55	24	25	45	45	30	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
128	鲍三娘	blue	5	240	100	55	24	50	45	0	30	50	0	0	0	0	0	0	30	hero/hongyan.png	2	1	1								
129	沙摩柯	blue	1	400	100	55	24	25	45	45	30	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
132	张绣	blue	1	400	100	55	24	25	45	45	30	30	0	0	0	0	0	0	30	hero/liubei.png	1	1	1								
134	潘璋	blue	1	400	100	55	24	25	45	45	30	30	0	0	0	0	0	0	30	hero/liubei.png	3	1	1								
135	祖茂	blue	1	400	100	55	24	25	45	45	30	30	0	0	0	0	0	0	30	hero/liubei.png	4	1	1								
137	田予	blue	1	400	100	55	24	25	45	45	30	30	0	0	0	0	0	0	30	hero/caopi.png	1	1	1								
138	马忠	blue	1	400	100	55	24	25	45	45	30	30	0	0	0	0	0	0	30	hero/caopi.png	3	1	1								
144	徐荣	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/zhoutai.png	4	1	1								
147	文聘	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/jiangwei.png	1	1	1								
148	潘凤	purple	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/wenchou.png	4	1	1								
152	于禁	purple	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/jiangwei.png	1	1	1								
155	廖化	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/qiang.png	2	1	1								
157	张任	blue	3	320	100	78	60	50	19	25	19	25	0	0	0	0	0	0	30	hero/qi.png	4	1	1								
158	韩遂	blue	3	320	100	78	60	50	24	25	19	25	0	0	0	0	0	0	30	hero/qi.png	4	1	1								
159	马岱	blue	3	320	100	70	49	50	24	25	24	25	0	0	0	0	0	0	30	hero/qi.png	2	1	1								
170	高顺	blue	3	320	100	70	49	50	24	25	24	25	0	0	0	0	0	0	30	hero/dao.png	4	1	1								
171	邢道荣	blue	3	320	100	70	49	50	24	25	24	25	0	0	0	0	0	0	30	hero/dao.png	1	1	1								
173	许靖	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/huaxiong.png	1	1	1								
174	石广元	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/huaxiong.png	4	1	1								
175	崔州平	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/huaxiong.png	4	1	1								
176	周少华	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
177	任三庭	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
178	唐骏	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/huaxiong.png	4	1	1								
179	耿纪	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
180	司马炎	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/liubei.png	1	1	1								
181	陆绩	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/liubei.png	3	1	1								
182	王甫	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/liubei.png	4	1	1								
183	王匡	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/liubei.png	4	1	1								
184	田畴	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/liubei.png	1	1	1								
185	王三昊	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/liubei.png	4	1	1								
186	刘宏	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/liubei.png	4	1	1								
187	李双越	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/xunyu.png	2	1	1								
188	张天佑	blue	4	240	100	74	60	60	0	0	40	40	0	0	0	0	0	0	30	hero/xunyu.png	4	1	1								
189	刘伯林	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/xunyu.png	1	1	1								
190	刘安	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/xunyu.png	4	1	1								
191	张清	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/xunyu.png	4	1	1								
192	周兆祥	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/xunyu.png	1	1	1								
193	乔玄	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/xunyu.png	4	1	1								
194	刘琮	blue	4	240	100	74	60	60	0	0	40	40	0	0	0	0	0	0	30	hero/xunyu.png	4	1	1								
195	乔瑁	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/dengai.png	4	1	1								
196	刘理	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/dengai.png	4	1	1								
197	陈珪	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/dengai.png	1	1	1								
198	赵剑	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/dengai.png	4	1	1								
199	诸葛恪	white	4	240	100	54	33	60	0	0	30	40	0	0	0	0	0	0	30	hero/dengai.png	2	1	1								
200	王朗	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/dengai.png	1	1	1								
201	刘循	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/lingtong.png	4	1	1								
202	杨柏	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/lingtong.png	4	1	1								
203	杨松	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/lingtong.png	4	1	1								
204	王楷	white	4	240	100	59	40	60	0	0	30	40	0	0	0	0	0	0	30	hero/lingtong.png	3	1	1								
205	步夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/zhangchunhua.png	4	1	1								
206	马夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/zhangchunhua.png	4	1	1								
207	孙夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/zhangchunhua.png	4	1	1								
208	赵夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/zhangchunhua.png	4	1	1								
209	王夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/zhangchunhua.png	4	1	1								
210	李夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/zhangchunhua.png	4	1	1								
211	韩夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/zhangchunhua.png	4	1	1								
212	徐夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/hongyan.png	4	1	1								
213	谭夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/hongyan.png	4	1	1								
214	陆夫人	white	5	240	100	59	40	50	0	0	30	50	0	0	0	0	0	0	30	hero/hongyan.png	4	1	1								
215	程秉	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/caopi.png	2	1	1								
216	刘勋	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/caopi.png	4	1	1								
217	刘辟	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/caopi.png	4	1	1								
218	公孙渊	blue	1	400	100	74	49	25	0	45	49	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
219	李飞龙	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/caopi.png	4	1	1								
220	张让	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/caopi.png	4	1	1								
221	周昕	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/caopi.png	4	1	1								
222	伏完	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/dao.png	4	1	1								
223	黄皓	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/dao.png	4	1	1								
224	严纲	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/dao.png	4	1	1								
225	任峻	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/dao.png	2	1	1								
226	张翼	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/dao.png	2	1	1								
227	臧霸	blue	1	400	100	74	49	25	0	45	49	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
228	蔡瑁	blue	1	400	100	74	49	25	0	45	49	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
229	白乐	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/lingtong.png	4	1	1								
230	蔡和	blue	1	400	100	74	49	25	0	45	49	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
231	向朗	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/lingtong.png	1	1	1								
232	向宠	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/luxun.png	1	1	1								
233	曹休	blue	1	400	100	74	49	25	0	45	49	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
234	乐就	blue	1	400	100	74	49	25	0	45	49	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
235	冯丹	white	1	400	100	49	16	25	38	45	30	30	0	0	0	0	0	0	30	hero/luxun.png	4	1	1								
236	裴元绍	blue	1	400	100	74	49	25	0	45	49	30	0	0	0	0	0	0	30	hero/huaxiong.png	2	1	1								
237	孟获	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/zhoutai.png	4	1	1								
238	朱灵	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/zhoutai.png	4	1	1								
239	高干	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/zhoutai.png	4	1	1								
240	黄祖	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/zhoutai.png	4	1	1								
241	曹纯	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/zhoutai.png	1	1	1								
242	陈升	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/zhoutai.png	4	1	1								
243	李飞龙	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/zhoutai.png	4	1	1								
244	付铁明	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/zhoutai.png	4	1	1								
245	朱桓	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/jiangwei.png	3	1	1								
246	吴凡	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/jiangwei.png	2	1	1								
247	董袭	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/jiangwei.png	3	1	1								
248	夏侯霸	blue	2	320	100	78	60	60	19	20	19	20	0	0	0	0	0	0	30	hero/zhoutai.png	4	1	1								
249	李严	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/jiangwei.png	2	1	1								
250	陈武	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/jiangwei.png	3	1	1								
251	赵累	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/qiang.png	4	1	1								
252	袁谭	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/qiang.png	4	1	1								
253	袁熙	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/qiang.png	4	1	1								
254	袁尚	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/qiang.png	4	1	1								
255	公孙越	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/qiang.png	4	1	1								
256	公孙康	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/qiang.png	4	1	1								
257	吴班	white	2	320	100	58	33	60	17	20	30	20	0	0	0	0	0	0	30	hero/qiang.png	2	1	1								
258	孟达	white	3	320	100	58	33	50	21	25	30	25	0	0	0	0	0	0	30	hero/qi.png	2	1	1								
259	武安国	blue	3	320	100	78	60	50	19	25	19	25	0	0	0	0	0	0	30	hero/qi.png	4	1	1								
260	程远志	blue	3	320	100	78	60	50	19	25	19	25	0	0	0	0	0	0	30	hero/qi.png	4	1	1								
261	杜袭	white	3	320	100	58	33	50	21	25	30	25	0	0	0	0	0	0	30	hero/qi.png	4	1	1								
262	阿会喃	white	3	320	100	58	33	50	21	25	30	25	0	0	0	0	0	0	30	hero/weiyan.png	2	1	1								
263	王平	blue	3	320	100	78	60	50	19	25	19	25	0	0	0	0	0	0	30	hero/qi.png	4	1	1								
264	吴纲	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/qi.png	2	1	1								
265	车勇	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/luxun.png	1	1	1								
266	朱然	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/luxun.png	1	1	1								
267	张伟	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/yuanshu.png	1	1	1								
268	吕旷	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/yuanshu.png	1	1	1								
269	郭硕	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/yuanshu.png	3	1	1								
270	高翔	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/yuanshu.png	1	1	1								
271	韩当	blue	3	320	100	78	60	50	19	25	19	25	0	0	0	0	0	0	30	hero/qi.png	4	1	1								
272	赵范	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/yuanshu.png	1	1	1								
273	马元义	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/yuanshu.png	1	1	1								
274	宋宪	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/guojia.png	2	1	1								
275	李安邦	blue	3	320	100	78	60	50	19	25	19	25	0	0	0	0	0	0	30	hero/qi.png	4	1	1								
276	蒋义渠	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/guojia.png	2	1	1								
277	王俊	white	3	320	100	63	40	50	21	25	30	25	0	0	0	0	0	0	30	hero/guojia.png	2	1	1								
278	孟优	blue	3	320	100	78	60	50	19	25	19	25	0	0	0	0	0	0	30	hero/qi.png	4	1	1								
279	左慈	orange	4	240	100	689	839	90	886	5	886	5	0	0	0	0	0	0	55	hero/zuoci.png	4	1	3	soldier505		10		53	10	1009	
280	洛神	orange	5	240	100	228	677	82	74	9	74	9	0	0	0	0	0	0	55	hero/luoshen.png	4	1	3	soldier504		7				1007	
281	童渊	orange	2	320	100	228	661	80	41	5	124	15	0	0	0	0	0	0	55	hero/tongyuan.png	4	1	3	soldier507		10		70	10	1002	
282	董卓	orange	1	400	100	691	883	10	864	45	864	45	0	0	0	0	0	0	55	hero/dongzhuo.png	4	1	3	soldier509	soldier1003	0	1			1003	
283	地下城勇士	orange	1	400	100	289	99	60	450	20	450	20	0	0	0	0	0	0	55	hero/dixiachengyongshi.png	4	1	5								在阿拉德大陆上，冰龙的苏醒让很多地下城勇士感到绝望，无数觉醒的人们依旧难逃死亡。GSD作为剑客们的宗师，义无反顾的拿起了尘封已久的“虚空之刃”，他希望通过剑光的速度，划开虚空之门，葬送冰龙的永生。然而，这次冒险的结果是自己被送到了三国时代…
284	死神队长	orange	1	400	100	289	120	60	700	20	180	20	0	0	0	0	0	0	55	hero/sishenduizhang.png	4	1	5								在尸魂界一直以来都存在着一支神秘的科研开发部队，外界仅仅知道他们的代号为“K5”，即便是皇廷及四大贵族，对他们的存在也是万分依赖。可K5在通往虚界的空间置换实验中，队长雪影离奇失踪，外界传言那是蓝染相助下的潜逃，但事实上，他来到了一个叫三国的年代…
285	特种保安	orange	1	400	100	288	105	60	310	20	580	20	0	0	0	0	0	0	55	hero/tezhongbaoan.png	4	1	5								项少龙对回到未来的绝望来自于“传送器”的没电，索性将它悬挂在窗前留作念想，可博士的一项隐藏技术并未告诉项少龙，那就是“传送器”可以通过太阳能恢复运转！就在儿子项羽出生的早上，项少龙鬼使神差的取下“传送器”祈求老天保佑，却被无情的传送到了坑爹的三国…
286	调查兵团	orange	1	400	100	284	50	60	350	20	580	20	0	0	0	0	0	0	55	hero/diaochabingtuan.png	4	1	5								巨人们的进攻让人类已经不堪重负，然而变异种的泛滥、阴谋者的里应外合，让原本就脆弱的防线变得不堪一击。凯帝是皇室的王牌战士，他具有创造黑洞的特意功能，可这让阴谋者如坐针毡，在凯帝操控黑洞的时候，他被反推进了虚空深渊，最终来到了三国。
287	神盾局	orange	2	320	100	280	610	60	150	20	220	20	0	0	0	0	0	0	55	hero/shendunju.png	4	1	5								神盾局每个特工的生活都在与不可思议的事情打交道，凯文从神盾局的档案里消失了多年，原因被列为S级机密。在他破坏“太阳风暴收集器”的时候，竟然活生生的消失了，电话最后一次打通时凯文告诉总部自己在官渡之战的沙场上，曹操很喜欢自己，还给了他一群老婆。
288	金刚狼	orange	2	320	100	282	605	60	145	20	240	20	0	0	0	0	0	0	55	hero/saiyaren.png	4	1	5								罗根的钢爪不但撕裂了日本高能产业最顶尖级的机甲巨人，同样也葬送了阴谋者“矢志田”的永生之梦，本以为一切都已结束的罗根，却在离开实验室后误入了一个“人造黑洞”，那是矢志田遗留下来的B计划，意图穿越过去获得永生，然而这个计划的最终享有者却是金刚狼。
289	森林游侠	orange	2	320	100	282	580	60	140	20	270	20	0	0	0	0	0	0	55	hero/senlinyouxia.png	4	1	5								侠盗罗宾汉的最后一次抢掠，是一辆来英国皇家的进贡马车，他不但获得了救济穷人的足够财富，还得到了一个雕刻着九条神龙的木匣，但即便他绞尽脑汁也无法打开木匣的机关，情急之下的罗宾汉一箭射出，企图将之粉碎，然而在他从昏迷中醒来时，却已身在三国…
290	私家侦探	orange	3	320	100	272	480	60	320	20	150	20	0	0	0	0	0	0	55	hero/sijiazhentan.png	4	1	5								福尔摩斯作为推理大师，虽然解决了无数疑难案件，但在“伦敦下水道事件”中却显得一筹莫展，无数的探险者、水道工在这里无故消失，无可奈何之下，福尔摩斯决定深入虎穴一探究竟。当他发现一个巨大的黑暗漩涡才是吞噬生命的“凶手”时，迎接他的世界，是一个充满血腥的三国。
